City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Manthani,IN,77.67,clear sky,18.65,79.67,Social Welfare Boys Hostel
4,Marsh Harbour,BS,79.07,overcast clouds,26.54,-77.06,Abaco Beach Resort
5,Georgetown,MY,84.2,light rain,5.41,100.34,Cititel Penang
10,Kahului,US,77.0,few clouds,20.89,-156.47,Maui Seaside Hotel
12,Saint-Philippe,RE,78.8,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
14,Namatanai,PG,83.98,light rain,-3.67,152.43,Namatanai Hotel
15,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
20,Poum,NC,75.31,broken clouds,-20.23,164.02,Gîte kajeon
22,Isangel,VU,75.85,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
28,Diplo,PK,87.42,clear sky,24.47,69.58,Students Hostel
45,Ciudad Bolivar,VE,77.85,overcast clouds,8.12,-63.55,Hotel Edi
50,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
52,Boyolangu,ID,86.41,overcast clouds,-8.12,111.89,Yos ega cv
56,Maragogi,BR,76.1,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
57,Carnarvon,AU,77.0,scattered clouds,-24.87,113.63,Hospitality Carnarvon
58,Luganville,VU,78.8,overcast clouds,-15.53,167.17,The Espiritu Hotel
59,Salalah,OM,82.4,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
61,Eyl,SO,84.6,clear sky,7.98,49.82,Amiin Hotel
65,Atuona,PF,77.65,scattered clouds,-9.8,-139.03,Villa Enata
68,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
75,Thinadhoo,MV,84.42,light rain,0.53,72.93,
78,Lorengau,PG,84.09,light rain,-2.02,147.27,Lorengau Harbourside Hotel
80,Tual,ID,84.38,overcast clouds,-5.67,132.75,Grand Vilia Hotel
84,Hobart,AU,79.0,clear sky,-42.88,147.33,St Ives Hobart Accommodation Tasmania
89,Cayenne,GF,75.2,clear sky,4.93,-52.33,Hôtel Le Dronmi
90,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
99,Grand Baie,MU,79.0,clear sky,-20.02,57.58,Trou aux Biches Beachcomber Golf Resort & Spa
101,Tarakan,ID,85.33,broken clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
110,Loei,TH,82.4,few clouds,17.42,101.5,ไร่สานตม บ้านภูล้อม
111,Inhambane,MZ,82.4,broken clouds,-23.86,35.38,Oceano
115,Marzuq,YE,76.84,clear sky,14.4,46.47,
117,Pangai,TO,77.0,few clouds,-19.8,-174.35,Ha'apai Beach Resort
123,Omboue,GA,75.07,moderate rain,-1.57,9.26,Hotel Olako
126,Ubud,ID,87.8,scattered clouds,-8.51,115.27,Maya Ubud Resort & Spa
133,Cockburn Town,TC,79.7,moderate rain,21.46,-71.14,Osprey Beach Hotel
135,Hithadhoo,MV,84.58,moderate rain,-0.6,73.08,Scoop Guest House
139,Samarai,PG,80.65,light rain,-10.62,150.67,Nuli Sapi
141,Mazatlan,MX,81.0,clear sky,23.22,-106.42,Gaviana Resort
154,Puerto Escondido,MX,78.8,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
162,Denpasar,ID,87.8,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
165,Port Blair,IN,77.0,drizzle,11.67,92.75,Fortune Resort Bay Island
166,Esperance,AU,75.2,scattered clouds,-33.87,121.9,Hospitality Esperance
170,Saint-Marc,HT,76.89,overcast clouds,19.11,-72.69,Maguana Hotel
172,Victoria,HK,82.99,few clouds,22.29,114.16,Mini Hotel Central
184,Ewa Beach,US,80.6,few clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
187,Kismayo,SO,84.72,light rain,-0.36,42.55,Agan-Hotel
190,Saint-Georges,GD,82.4,scattered clouds,12.06,-61.75,Siesta Hotel
195,Sargur,IN,78.8,mist,11.98,76.42,Jungle Trailz Kabini
203,Umm Lajj,SA,79.07,clear sky,25.02,37.27,Moon light Furnished Units
205,Hatillo,PR,75.99,moderate rain,18.49,-66.83,Hotel Parador El Buen Cafe
208,Tutoia,BR,82.06,scattered clouds,-2.76,-42.27,Pousada Guará's
209,Port Lincoln,AU,75.07,few clouds,-34.73,135.87,Port Lincoln Hotel
210,Touros,BR,75.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
214,Sao Filipe,CV,79.18,clear sky,14.9,-24.5,Tortuga B&B
217,Bloomingdale,US,77.0,light rain,27.89,-82.24,Travel Club for Free
218,New Norfolk,AU,79.0,scattered clouds,-42.78,147.06,The Shingles Riverside Cottages
222,Chon Daen,TH,89.01,clear sky,16.19,100.86,ซับขลุง
224,Cap Malheureux,MU,79.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
