City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,55.99,85,100,11.01,light rain
1,Sao Joao Da Barra,BR,-21.64,-41.05,73.87,95,99,2.95,overcast clouds
2,Lavrentiya,RU,65.58,-171.0,27.9,97,93,9.42,overcast clouds
3,Manthani,IN,18.65,79.67,77.67,43,0,6.2,clear sky
4,Marsh Harbour,BS,26.54,-77.06,79.07,82,100,28.95,overcast clouds
5,Georgetown,MY,5.41,100.34,84.2,74,20,3.36,light rain
6,Rosarito,MX,32.33,-117.03,57.0,66,20,13.87,few clouds
7,Tula,RU,54.2,37.61,33.75,89,0,7.9,clear sky
8,Barrow,US,71.29,-156.79,15.8,78,90,25.28,overcast clouds
9,Awjilah,LY,29.11,21.29,58.69,69,0,7.23,clear sky
10,Kahului,US,20.89,-156.47,77.0,78,20,14.99,few clouds
11,Port Elizabeth,ZA,-33.92,25.57,57.2,93,75,17.22,light rain
12,Saint-Philippe,RE,-21.36,55.77,78.8,74,20,18.34,few clouds
13,Punta Arenas,CL,-53.15,-70.92,41.0,75,0,17.22,clear sky
14,Namatanai,PG,-3.67,152.43,83.98,70,77,5.19,light rain
15,Vaini,TO,-21.2,-175.2,78.8,74,20,6.93,few clouds
16,Severo-Kurilsk,RU,50.68,156.12,35.71,93,100,23.73,overcast clouds
17,Hilo,US,19.73,-155.09,75.2,83,90,3.36,overcast clouds
18,Atbasar,KZ,51.8,68.33,37.11,90,100,27.16,light rain
19,Lata,PT,40.16,-8.33,55.99,93,13,3.22,few clouds
20,Poum,NC,-20.23,164.02,75.31,77,64,17.54,broken clouds
21,Rawson,AR,-43.3,-65.1,66.24,62,83,13.87,broken clouds
22,Isangel,VU,-19.55,169.27,75.85,78,87,18.7,overcast clouds
23,Upernavik,GL,72.79,-56.15,-5.42,79,3,11.97,clear sky
24,East London,ZA,-33.02,27.91,59.0,93,75,14.99,light intensity drizzle
25,Arman,RU,59.7,150.17,7.97,85,31,13.29,scattered clouds
26,Atikokan,CA,48.76,-91.62,58.39,84,68,10.51,broken clouds
27,Nioro,GM,13.35,-15.75,73.35,81,0,4.21,clear sky
28,Diplo,PK,24.47,69.58,87.42,20,0,0.13,clear sky
29,Revda,RU,56.8,59.93,33.8,80,40,17.9,scattered clouds
30,Chisinau,MD,47.01,28.86,42.8,100,90,6.93,mist
31,Zaysan,KZ,47.47,84.87,50.76,46,100,15.39,light rain
32,Iqaluit,CA,63.75,-68.51,15.8,85,90,25.28,light snow
33,Mar Del Plata,AR,-38.0,-57.56,61.0,100,90,5.82,overcast clouds
34,Naze,JP,28.37,129.48,71.6,56,75,17.22,broken clouds
35,Aklavik,CA,68.22,-135.01,21.2,92,100,8.05,light snow
36,Cape Town,ZA,-33.93,18.42,57.0,71,20,1.12,few clouds
37,Bamiantong,CN,44.93,130.53,26.89,78,69,12.53,broken clouds
38,Arraial Do Cabo,BR,-22.97,-42.03,73.31,95,53,2.98,light rain
39,San Cristobal,VE,7.77,-72.22,65.37,87,52,0.96,light rain
40,Tasiilaq,GL,65.61,-37.64,33.71,94,100,39.21,overcast clouds
41,Tuktoyaktuk,CA,69.45,-133.04,8.6,84,90,23.04,light snow
42,Hermanus,ZA,-34.42,19.23,52.0,86,1,1.01,clear sky
